unit_id,pref_name,muni_code,city_name_ja,pop_change,pop_change_pct,working_age_change,working_age_change_pct,youth_change,elderly_change
mura:Akita:05201,Akita,05201,秋田市,-8142,-0.0258,-13452,-0.0722,-2107,7236
mura:Akita:05202,Akita,05202,能代市,-4762,-0.087,-3231,-0.1146,-827,517
mura:Akita:05203,Akita,05203,横手市,-6642,-0.072,-6347,-0.1275,-1273,1082
mura:Akita:05204,Akita,05204,大館市,-4938,-0.0666,-4483,-0.1128,-1168,449
mura:Akita:05206,Akita,05206,男鹿市,-3221,-0.1135,-3018,-0.2083,-483,145
mura:Akita:05207,Akita,05207,湯沢市,-4522,-0.097,-3918,-0.1542,-894,276
mura:Akita:05209,Akita,05209,鹿角市,-2950,-0.0921,-2493,-0.1488,-562,50
mura:Akita:05210,Akita,05210,由利本荘市,-5220,-0.0653,-5638,-0.1265,-1084,1356
mura:Akita:05211,Akita,05211,潟上市,-1363,-0.0412,-1902,-0.1001,-448,878
mura:Akita:05212,Akita,05212,大仙市,-5126,-0.0619,-5613,-0.1237,-1114,1212
mura:Akita:05213,Akita,05213,北秋田市,-3026,-0.0911,-2463,-0.1473,-495,-19
mura:Akita:05214,Akita,05214,にかほ市,-1889,-0.0746,-1749,-0.1268,-561,434
mura:Akita:05215,Akita,05215,仙北市,-2913,-0.1058,-2342,-0.1651,-605,-30
mura:Akita:05303,Akita,05303,小坂町,-559,-0.1047,-350,-0.133,-123,-80
mura:Akita:05327,Akita,05327,上小阿仁村,-318,-0.1336,-242,-0.2239,-24,-52
mura:Akita:05346,Akita,05346,藤里町,-463,-0.1378,-342,-0.2105,-69,-52
mura:Akita:05348,Akita,05348,三種町,-1824,-0.1068,-1706,-0.1926,-286,169
mura:Akita:05349,Akita,05349,八峰町,-732,-0.1002,-575,-0.1565,-148,-10
mura:Akita:05361,Akita,05361,五城目町,-925,-0.0977,-856,-0.1801,-160,85
mura:Akita:05363,Akita,05363,八郎潟町,-497,-0.0817,-544,-0.1688,-143,211
mura:Akita:05366,Akita,05366,井川町,-420,-0.0842,-418,-0.1578,-129,102
mura:Akita:05368,Akita,05368,大潟村,-99,-0.0318,-33,-0.0192,-79,-7
mura:Akita:05434,Akita,05434,美郷町,-1666,-0.0822,-1550,-0.1406,-324,206
mura:Akita:05463,Akita,05463,羽後町,-1494,-0.0975,-1347,-0.1597,-203,53
mura:Akita:05464,Akita,05464,東成瀬村,94,0.036,62,0.0445,-59,56
mura:Aomori:02201,Aomori,02201,青森市,-12456,-0.0433,-18870,-0.1117,-4488,4490
mura:Aomori:02202,Aomori,02202,弘前市,-8945,-0.0504,-9947,-0.0947,-1993,2092
mura:Aomori:02203,Aomori,02203,八戸市,-7842,-0.0339,-10145,-0.0742,-2486,5714
mura:Aomori:02204,Aomori,02204,黒石市,-2338,-0.0682,-2492,-0.1233,-650,765
mura:Aomori:02205,Aomori,02205,五所川原市,-3766,-0.0682,-3808,-0.1205,-1155,930
mura:Aomori:02206,Aomori,02206,十和田市,-3051,-0.0481,-4027,-0.1088,-927,1470
mura:Aomori:02207,Aomori,02207,三沢市,-1044,-0.026,-1685,-0.068,-797,907
mura:Aomori:02208,Aomori,02208,むつ市,-4390,-0.0751,-4602,-0.1358,-1293,923
mura:Aomori:02209,Aomori,02209,つがる市,-2382,-0.0715,-2308,-0.1261,-571,495
mura:Aomori:02210,Aomori,02210,平川市,-1539,-0.0479,-1880,-0.1023,-352,692
mura:Aomori:02301,Aomori,02301,平内町,-1016,-0.0912,-1073,-0.1752,-166,218
mura:Aomori:02303,Aomori,02303,今別町,-422,-0.1531,-286,-0.2335,-34,-102
mura:Aomori:02304,Aomori,02304,蓬田村,-356,-0.1229,-284,-0.1893,-44,-3
mura:Aomori:02307,Aomori,02307,外ヶ浜町,-797,-0.1286,-565,-0.193,-152,-82
mura:Aomori:02321,Aomori,02321,鰺ヶ沢町,-1082,-0.1069,-931,-0.178,-150,13
mura:Aomori:02323,Aomori,02323,深浦町,-1083,-0.1285,-847,-0.2125,-186,-50
mura:Aomori:02343,Aomori,02343,西目屋村,-150,-0.106,-137,-0.1827,22,-35
mura:Aomori:02361,Aomori,02361,藤崎町,-606,-0.0399,-649,-0.0743,-129,169
mura:Aomori:02362,Aomori,02362,大鰐町,-1011,-0.1045,-871,-0.1697,-155,16
mura:Aomori:02367,Aomori,02367,田舎館村,-457,-0.0587,-548,-0.1247,-54,148
mura:Aomori:02381,Aomori,02381,板柳町,-1235,-0.0886,-1028,-0.1335,-287,81
mura:Aomori:02384,Aomori,02384,鶴田町,-1318,-0.0984,-1256,-0.1676,-245,183
mura:Aomori:02387,Aomori,02387,中泊町,-1530,-0.1368,-1309,-0.2211,-204,6
mura:Aomori:02401,Aomori,02401,野辺地町,-1150,-0.085,-957,-0.1274,-323,148
mura:Aomori:02402,Aomori,02402,七戸町,-1153,-0.0734,-1217,-0.1446,-198,259
mura:Aomori:02405,Aomori,02405,六戸町,24,0.0023,-268,-0.0463,83,300
mura:Aomori:02406,Aomori,02406,横浜町,-306,-0.0675,-261,-0.107,-87,42
mura:Aomori:02408,Aomori,02408,東北町,-1527,-0.085,-1448,-0.1471,-287,250
mura:Aomori:02411,Aomori,02411,六ヶ所村,-169,-0.016,-244,-0.0363,-226,191
mura:Aomori:02412,Aomori,02412,おいらせ町,51,0.0021,-799,-0.0542,-130,687
mura:Aomori:02423,Aomori,02423,大間町,-509,-0.0974,-511,-0.1699,-122,174
mura:Aomori:02424,Aomori,02424,東通村,-652,-0.0987,-597,-0.157,-128,73
mura:Aomori:02425,Aomori,02425,風間浦村,-340,-0.1721,-281,-0.2723,-45,-17
mura:Aomori:02426,Aomori,02426,佐井村,-360,-0.1676,-282,-0.2601,-67,-14
mura:Aomori:02441,Aomori,02441,三戸町,-1053,-0.1039,-920,-0.1725,-171,-1
mura:Aomori:02442,Aomori,02442,五戸町,-1391,-0.0798,-1402,-0.1469,-253,276
mura:Aomori:02443,Aomori,02443,田子町,-586,-0.1055,-477,-0.1677,-99,-10
mura:Aomori:02445,Aomori,02445,南部町,-1503,-0.0821,-1357,-0.1373,-311,168
mura:Aomori:02446,Aomori,02446,階上町,-529,-0.0377,-902,-0.1049,-195,479
mura:Aomori:02450,Aomori,02450,新郷村,-312,-0.1244,-229,-0.1946,-41,-42
